Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Name,score,userscore,tag,roca,url,menu,coordinate
부산 봉래동,score,userscore,tag,roca,url,menu,
삼진어묵,54점,4.0점,한식   어묵탕,부산광역시 영도구 봉래동2가 39-1 ,https://www.diningcode.com/profile.php?rid=fAC82oSnYTwz,  어묵고로케 :2800원  ,"X :129.042792, Y :35.0929773"
청해수산,53점,5.0점,횟집   모둠회,부산광역시 영도구 봉래동3가 17-2 ,https://www.diningcode.com/profile.php?rid=sEqjGqKrkkwN,  도다리     모듬회 小 :35000원   모듬회 中 :45000원   모듬회 大 :55000원   모듬회 특大 :65000원   돌돔     제철활어회    ,"X :129.043811, Y :35.0925275"
모모스 로스터리&커피바,53점,4.2점,카페   아메리카노,부산광역시 영도구 봉래동2가 131 ,https://www.diningcode.com/profile.php?rid=3WZjdTKERcnH,  에스프레소 :6000원   아메리카노 :6000원   애플쥬스 :7000원   라떼 :6500원   모모스 맛사탕 오렌지 :6500원   모모스맛사탕 얼그레이 :6500원   필터커피 시그널 블렌드 윈터 다크 :7000원   필터커피 인도네시아 :7500원   필터커피 에티오피아 :8500원   필터커피 파나마 :10000원   귀비오룡 :10000원  ,"X :129.042594, Y :35.0960445"
라발스 스카이 카페&바 부산라발스호텔점,50점,4.2점,루프탑   아메리카노,부산광역시 영도구 봉래동1가 29 라발스 호텔 28층 ,https://www.diningcode.com/profile.php?rid=zXNb2ImKSot7,  아메리카노 추천 :6500원   에스프레소 :6500원   카페라떼 :7000원   카푸치노 :7000원   바닐라라떼 :7500원   카페모카 :7500원   카라멜라떼 :7500원   초코라떼 :6500원   녹차라떼 :6500원   프레시 오렌지 주스 :8000원   프레시 토마토 주스 :8000원   레몬에이드 :7500원   패션프룻에이드 :7500원   청귤에이드 :7500원   헤이즐넛라떼 :7500원   SKY솔티크림라떼 :8500원   레몬티 :6500원   유자차 :6500원   유자애플티 :7000원   청귤티 :7000원   패션프룻티 :7000원   라치나타 그린티&진저 티 :7000원   라치나타 루이보스&레몬밤 티 :7000원   단호박 식혜 :7000원   생강차 :7000원  :1664 블랑 :10000원  :1664 라거 :10000원   기네스 :12000원   빅웨이브 :12000원   산 미구엘 :10000원   스텔라 아르투아 :9000원   버드와이저 :9000원   스낵 플레이트 :12000원  ,"X :129.039146, Y :35.0945255"
진주식당,47점,4.0점,한식,부산광역시 영도구 봉래동1가 94-3 ,https://www.diningcode.com/profile.php?rid=WN5Bk4nWkYA0,  해장국 :5000원  ,"X :129.039969, Y :35.0932320"
화목정따로국밥,46점,4.7점,돼지국밥   따로국밥,부산광역시 영도구 봉래동1가 48-3 ,https://www.diningcode.com/profile.php?rid=G28rTZ2HY7xk,  따로돼지국밥 :9000원   내장국밥 :9000원   순대국밥 :9000원   돼지수백 :14000원   소머리국밥 :12000원   소머리수육(中) :48000원   소머리수육(大) :53000원   돼지수육(小) :28000원   돼지수육(中) :38000원   돼지수육(大) :43000원   맛보기 순대 :10000원  ,"X :129.039480, Y :35.0933935"
안락다락방,43점,4.3점,케이크   요거트,부산광역시 영도구 봉래동5가 109-8 ,https://www.diningcode.com/profile.php?rid=lZEmiGUOnxgy,  생딸기요거트 추천 :9000원   딸기케이크 :7000원   꿀자몽요거트 :9000원   단호박치즈케이크 추천 :7000원   밤케이크 :7000원  ,"X :129.054753, Y :35.0938116"
서울집,41점,5.0점,곱창   곱창전골,부산시 영도구 봉래동2가 12 ,https://www.diningcode.com/profile.php?rid=nWmRH8ZqYDew,  소곱창전골 :11000원   소곱창버섯전골 :12000원   소곱창볶음 :13000원   사리 :1000원   공기밥 :1000원  ,"X :129.041637, Y :35.0928615"
너와집,40점,5.0점,칼국수전문   닭칼국수,부산광역시 영도구 봉래동3가 179-1 ,https://www.diningcode.com/profile.php?rid=BXQHeCOyd3kE,  해물칼국수 :8000원   닭칼국수 (담백) :8000원   닭칼국수 (얼큰) :8000원   콩칼국수 :8000원  ,"X :129.044910, Y :35.0952666"
무명일기,40점,3.4점,비건   아메리카노,부산광역시 영도구 봉래동2가 145-1 ,https://www.diningcode.com/profile.php?rid=BRggGJ4DZzNj,  영도소반 - 소소정원 (예약주문) 추천 :10000원   영도소반 - 왕의바다 (예약주문) 추천 :20000원   백향과 에이드 추천 :6500원   라임 모히또 :6500원   곡물크림라떼 :6500원   카페라떼 :5500원   뱅쇼 :7000원   돌체라떼 :6500원   불고기 바게트 :7500원   몬테크리스토 샌드위치 :7500원   당근케이크 :7500원   흑임자케이크 추천 :7500원   전시 및 공연 대관문의    ,"X :129.043503, Y :35.0964618"
아르프,39점,3.7점,파스타   비건버거,부산광역시 영도구 봉래동2가 62-5 ,https://www.diningcode.com/profile.php?rid=jWkIVI0I2ZMw,  아르프 시그니처 쌀술 :38000원   고사리파스타 :16000원   아르프 비건블랙버거 :15000원   단밤 크로플 :9000원  ,"X :129.042572, Y :35.0929539"
블루샥 영도대교점,38점,5.0점,포차   라떼,부산광역시 영도구 봉래동1가 6-18 ,https://www.diningcode.com/profile.php?rid=XvavAeTNfGaY,  피넛 라떼 추천 :3800원   샥라떼 추천 :3400원   아메리카노 :2000원   바닐라빈 라떼 :3800원   로얄 밀크티 :4200원   애플망고 아이스티 :3600원  ,"X :129.038862, Y :35.0936922"
삼형제오리,38점,4.0점,베이징덕   북경오리,부산광역시 영도구 봉래동1가 6-2 ,https://www.diningcode.com/profile.php?rid=rdHo2uNszdY8,  양꼬치:10꼬치:2인이상 :13000원   양갈비:1인분:2인이상 :12000원   오리바베큐 한마리 :35000원   오리세트 :45000원   죽엽청주 (大) :30000원  ,"X :129.039285, Y :35.0935139"
장터횟집,38점,4.0점,횟집   모듬회,부산광역시 영도구 봉래동3가 10-1 봉래동시장 ,https://www.diningcode.com/profile.php?rid=2IeQAXzNGiD4,  모듬회 대 :60000원   회정식 :12000원   횟밥 :10000원   대구탕 :7000원   동태탕 :7000원  ,"X :129.043732, Y :35.0924477"
최가네양꼬쟁이,35점,3.0점,양고기   양꼬치,부산광역시 영도구 봉래동2가 8-7 ,https://www.diningcode.com/profile.php?rid=h6oAk9bqj03Q,  왕갈비살 꼬지:8꼬지 :12000원   등갈비 :11000원   양어깨살 :10000원   양등심 :20000원   왕새우 :5000원   양갈비살 꼬지:8꼬지 매운것 :13000원   수제소세지 :5000원   오뎅탕 :10000원  ,"X :129.040883, Y :35.0929553"
더카페 영도중앙점,35점,4.0점,커피숍   아메리카노,부산광역시 영도구 봉래동3가 24 ,https://www.diningcode.com/profile.php?rid=dEPAfNhfeFAM,  아메리카노 :2900원   시크릿라떼 :3300원   흑당버블라떼 :3900원   타로버블라떼 :3500원   카페라떼 :3500원   카푸치노 :3500원   헤일즐넛라떼 :3500원   흑당달고나라떼 :3900원   카라멜마끼아또 :3900원   카페모카 :3900원   콜드브루블랙 :3500원   콜드브루라떼 :3900원   시크릿연유라떼 :3500원   콜드브루연유라떼 :3900원   콜드브루아인슈페너 :3900원   생자몽머스캣티 :4300원   제주청귤한라봉티 :4300원   허브티 :3500원   스파클링에이드 :3900원   유자차 :3500원   복숭아아이스티 :2900원   과일주스 :4300원   프레스치노 :4300원   시크릿밀크티라떼 :3500원   과일스무디 :3900원   오거트스무디 :3900원   코코넛썸머라떼 :3900원   패션후르츠망고티 :4300원   수박스파클링크러쉬 :4300원   더블베리라떼 :3900원   망고스무디 :3900원   토마토주스 :3900원   시크릿라떼슈페너 :3900원   시크릿바닐라라떼 :3900원   시크릿미숫라떼 :3900원   더블딸기라떼 :3500원   그린티라떼 :3500원   더블초콜릿라떼 :3900원  ,"X :129.044254, Y :35.0927003"
또시아,35점,4.1점,우육면   가지튀김,부산광역시 영도구 봉래동1가 91-12 ,https://www.diningcode.com/profile.php?rid=La8Xw2d32nt7,  아롱사태냉채 :18000원   가지덮밥 :10000원   대만식 홍소우육면 추천 :11000원   마파두부&계란볶음밥 추천 :13000원   가지튀김 :13000원   찹쌀 꿔바로우 :14000원   마카롱멘보샤 :15000원   칠리새우 :17000원  ,"X :129.040342, Y :35.0936853"
젬스톤,35점,3.3점,이색카페   아메리카노,부산광역시 영도구 봉래동3가 137 ,https://www.diningcode.com/profile.php?rid=xcwUSPM8f6Oi,  아메리카노 :4500원   카페라떼 :5000원   바닐라라떼 :5500원  ,"X :129.044795, Y :35.0946016"
진이랑현이,35점,4.6점,보리밥   동태찌개,부산광역시 영도구 봉래동2가 8-11 ,https://www.diningcode.com/profile.php?rid=n0KKvASNz0as,  보리밥 :8000원   양푼동태찌개 :9000원   가자미조림 :20000원   두루치기 :14000원   돼지껍데기 :14000원   대구대가리찜 :20000원  ,"X :129.041176, Y :35.0928242"
요거트 아이스크림의 정석 영도점,35점,5.0점,아이스크림   요거트아이스크림,부산광역시 영도구 봉래동2가 38-2 ,https://www.diningcode.com/profile.php?rid=xo7xp9H17n9d,없음,"X :129.043104, Y :35.0927377"
텐퍼센트커피 영도점,34점,4.0점,커피   카페,부산 영도구 봉래동3가 110-1 ,https://www.diningcode.com/profile.php?rid=bp4TPpBAUmXy,  아메리카노(다크/미디엄) :2000원   카페라떼 :3000원   텐라떼 :3400원   바닐라빈라떼 :3500원   아인슈페너 :3500원   카페모카 :4000원   말차 카페라떼 :4000원   돌체라떼 :4000원   밀크 카라멜 라떼 :4000원   달고나 카페라떼 :4000원   콜드브루 :3500원   콜드브루 라떼 :4000원   얼그레이 티 :3000원   텐저린진저 티 :3000원   캐모마일 메들리 티 :3000원   블루베리 히비스커스 티 :3000원   유자차 :3000원   허니 레몬티/자몽티 :3500원   블랙 자몽티/레몬티 :3500원   블루레드 레몬티 :3500원   스트로베리라떼 :3500원   리얼초코 :4000원   하동말차라떼 :4000원   로얄 밀크티 :4000원   에이드(레몬/자몽) :4000원   크림치즈 라떼(홍차/말차/딸기) :4000원   요거트스무디(플레인/블루베리/스트로베리) :4000원   버터밀크스콘 :2000원   코코넛 쿠키 :1000원   플랫화이트(8oz/아이스음료) :3000원   돌체콜드브루라떼 :4000원   고흥스윗펌킨라떼 :4000원   자두스무디 :4500원  ,"X :129.043726, Y :35.0935022"
완도식당,34점,5.0점,돼지국밥,부산광역시 영도구 봉래동3가 7-1 ,https://www.diningcode.com/profile.php?rid=FF6EANzvFMSw,  수육백반 :10000원   따로국밥 :9000원   돼지국밥 :8000원   순대국밥 :8000원   내장국밥 :8000원   섞어국밥 :8000원   새끼보국밥 :9000원   선지국수 :7000원   선지국밥 :7000원  ,"X :129.043375, Y :35.0922104"
삼진어묵당 영도점,33점,5.0점,분식,부산광역시 영도구 봉래동2가 62-4 ,https://www.diningcode.com/profile.php?rid=B62lBapbQzVn,  어묵파스타떡볶이(2인) :9500원   매콤로제떡볶이(2인) 추천 :12500원   마라두부떡볶이(2인) :12500원   마늘폭탄떡볶이(2인) :11500원   통가래떡볶이 :5000원   짜장떡볶이 :6000원   어묵모닥치기 추천 :6500원   쉬림프 알리오올리오 파스타 추천 :8500원   나폴리탄 파스타 :8000원   스팸에그마요라이스 :6000원   김치베이컨리조또 :8500원   모듬튀김 :6500원   클래식 세트 추천 :19900원   믹스 세트 :21500원   어!이스크림 추천 :4000원   유자몽 에이드 :4500원   블루레몬 에이드 :4500원   오리지널 하이볼(알콜) :7000원   레몬진저 하이볼(알콜) :7500원  ,"X :129.042618, Y :35.0930343"
조선화로집 영도봉래점,33점,4.0점,갈비살   고기집,부산 영도구 봉래동3가 24 미라클타워 1층 101호 ,https://www.diningcode.com/profile.php?rid=TBE56u3WeQRD,  꽃갈비 :11900원   황제갈비살 :14900원   한돈수제숯불갈비정식 :11900원   황제갈비살정식 :13900원   보석살정식 :14500원   화로소고기양념구이정식 :12900원   차돌된장찌개 :5000원   된장찌개 :2500원   솥밥 :3000원   보석살 :16900원   안창꽃살 :16900원   조선수제소갈비(양념) :26000원   한돈수제숯불갈비 :12900원   조선프리미엄세트 :105000원   조선콤보 :85000원   한우육회 :22000원   꽃갈비정식 :10900원  ,"X :129.044254, Y :35.0927003"
알리아농 라발스호텔점,33점,3.5점,호텔레스토랑   양식,부산광역시 영도구 봉래동1가 29 라발스 호텔 3층 ,https://www.diningcode.com/profile.php?rid=ithb4iDniyiO,  런치 코스 A + 디저트 바 :59000원   런치 코스 B + 디저트 바 :69000원   디너 코스 + 스페셜 디저트 바 :85000원   [어린이용] 런치 디저트 바 :14000원   [어린이용] 디너 스페셜 디저트 바 :17000원   [테이크아웃] 화덕피자 (고르곤졸라/마르게리타) :20000원   [테이크아웃] 감바스&수제빵 :25000원   [테이크아웃] 안심스테이크&치킨샐러드 :57900원   홈파티박스 :190000원  ,"X :129.039146, Y :35.0945255"
부영갈비,33점,4.0점,고기집,부산광역시 영도구 봉래동3가 7-4 ,https://www.diningcode.com/profile.php?rid=mYbUjCwk2nzw,  된장찌개 :4000원   불고기전골 :6000원   목살(150g) :8000원   한우등심 :18000원   생삼겹 :8000원   부채살 :8000원   냉면 :6000원  ,"X :129.043557, Y :35.0920091"
자미당 영도점,31점,5.0점,베이커리,부산광역시 영도구 봉래동2가 36-12 ,https://www.diningcode.com/profile.php?rid=ahyGX8n3piIi,없음,"X :129.042741, Y :35.0922842"
영도구이,31점,4.0점,한식,부산 영도구 봉래동1가 48-8 ,https://www.diningcode.com/profile.php?rid=paKJ8NGBaKMF,없음,"X :129.039529, Y :35.0936179"
고고돈까스,31점,3.0점,돈까스   크림돈까스,부산광역시 영도구 봉래동3가 179-5 ,https://www.diningcode.com/profile.php?rid=72yib9EJpxMe,  고고돈까스 :7000원   등심까스 :7500원   안심까스 :8000원   새우후라이 set :8500원   마늘 크림 돈까스 :8000원  ,"X :129.044995, Y :35.0951750"
경주집,31점,4.0점,곱창볶음   곱창전골,부산광역시 영도구 봉래동2가 36-3 ,https://www.diningcode.com/profile.php?rid=NjFtUjZnUFnT,  곱창전골 :10000원   곱창볶음 :13000원   공기밥 사리 :1000원   음료수 :1000원   소주 :3000원   맥주 :4000원  ,"X :129.042706, Y :35.0926092"
하이오커피 영도센트럴에일린점,31점,0.0점,카페   커피,부산광역시 영도구 봉래동4가 69-1 ,https://www.diningcode.com/profile.php?rid=Hr0aKrW2wlRr,  아메리카노 :2000원   카페 라떼 :2500원   카푸치노 :2500원   바닐라 라떼 :2800원   헤이즐넛 라떼 :2800원   카라멜 마끼아또 :3000원   카페모카 :3000원   콜드브루 :3000원   연유라떼 :3500원   딸기 스노잉 :3900원   망고 스노잉 :3900원   블루베리 스노잉 :3900원   바다 소금 커피 :3500원   바다 소금 라떼 :3900원   흑당 밀크 버블린 :3900원   흑당 크림 밀크 버블린 :4300원   타로 밀크 버블린 :3900원   홍차 밀크 버블린 :3900원   플레인 요거트 스무디 :3900원   딸기 요거트 스무디 :3900원   망고 요거트 스무디 :3900원   블루베리 요거트 스무디 :3900원   자바초코칩 프라페 :3900원   민트초코칩 프라페 :3900원   폭탄초코 프라페 :3900원   쿠키&크림 프라페 :3900원   녹차 프라페 :3900원   녹차 라떼 :3500원   고구마 라떼 :3500원   초코 라떼 :3500원   홍차 라떼 :3500원   민트초코칩 라떼 :3500원   블루베리 라떼 :3500원   딸기 라떼 :3500원   청포도 에이드 :3500원   자몽 에이드 :3500원   블루레몬 에이드 :3500원   아이스티복숭아 :3000원  ,"X :129.047500, Y :35.0935918"
오늘도카츠,31점,0점,돈카츠   로스카츠,부산광역시 영도구 봉래동3가 90-4 ,https://www.diningcode.com/profile.php?rid=ZYzsDAri5HHM,  특로스카츠(돈육:200g) :12000원   상로스카츠(돈육:200g) :14000원   히레카츠(돈육:200g) :13000원   치즈카츠 :13000원  ,"X :129.045542, Y :35.0937780"
카페 델마르,31점,3.0점,카페   아메리카노,부산시 영도구 봉래동2가 151-1 홈플러스영도점 2층 ,https://www.diningcode.com/profile.php?rid=J2Hj5iYNJ1os,  숯불로스팅 아메리카노 추천 :4000원   아메리카노 :2500원   카페라떼 :3500원   카푸치노 :4000원   카라멜마끼아또 :4000원   카페모카 :4000원  ,"X :129.044236, Y :35.0959268"
대우회센타,31점,3.0점,물회   참가자미물회,부산광역시 영도구 봉래동2가 73-1 ,https://www.diningcode.com/profile.php?rid=IKxfNZJf44a1,  물회 :15000~20000   메기탕 :30000~40000   삼식이탕 :20000원   가자미탕 :20000원  ,"X :129.042135, Y :35.0934659"
이화집,31점,리뷰없음,삼계탕   옻닭,부산 영도구 봉래동3가 163-2 ,https://www.diningcode.com/profile.php?rid=R9py8mTMgFdo,없음,"X :129.045604, Y :35.0953810"
황제쟁반짜장,31점,1.0점,중국집   쟁반짜장,부산광역시 영도구 봉래동3가 161-8 ,https://www.diningcode.com/profile.php?rid=BbaZhU1ia5KB,  쟁반짜장 :6000원   쟁반볶음밥+짜장면 :6500원   쟁반사천짬뽕 :7000원   쟁반볶음짬뽕 :6500원   쟁반잡채밥 :6500원   쟁반마파두부밥 :6500원   쟁반날치알볶음밥 :6500원   쟁반삼선우동 :7000원   쟁반오삼두루치기밥 :6500원   쟁반해물잡탕밥 :10000원   쟁반낙지볶음덮밥 :6500원   쟁반사천탕수육 소 :21000원   쟁반사천탕수육 소 대 :26000원  ,"X :129.045177, Y :35.0950007"
인생통닭,31점,리뷰없음,치킨   닭강정,부산광역시 영도구 봉래동2가 73-2 ,https://www.diningcode.com/profile.php?rid=pAMuPmEUrS9C,없음,"X :129.042132, Y :35.0933578"
영도옛날국수,31점,리뷰없음,국수   물국수,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=hDDmrEjXtATe,없음,"X :129.043708, Y :35.0928086"
하오츠,31점,리뷰없음,짬뽕   중식당,부산 영도구 봉래동1가 95-5 ,https://www.diningcode.com/profile.php?rid=QGecKhSEp0NM,  하오츠짬뽕 :10000원   볶음짬뽕 :8000원   차돌짬뽕 :7000원   짬뽕 :6000원   해물짜짱 :8000원  ,"X :129.040383, Y :35.0931349"
청불닭발,31점,리뷰없음,닭발,부산광역시 영도구 봉래동1가 92-18 ,https://www.diningcode.com/profile.php?rid=Aj4lpvaab8YD,없음,"X :129.039818, Y :35.0933337"
삼삼밀면,31점,리뷰없음,중화요리   밀면,부산광역시 영도구 봉래동3가 137 ,https://www.diningcode.com/profile.php?rid=apm9EroRpNfV,없음,"X :129.044795, Y :35.0946016"
주희정해물탕,31점,리뷰없음,해산물   해물탕,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=eFzZjrwRoHzK,  가마솥해물탕(소) :40000원   가마솥해물탕(중) :50000원   가마솥해물탕(대) :60000원   가마솥조개구이(대) :50000원  ,"X :129.043708, Y :35.0928086"
